Timestamp,Rank the ice cream flavors you'd like to see at a summer ice cream social. You can place one vote per row (flavor) and one vote per column (ranking). Rankings go from 1 (most favorite) to 9 (least favorite). You can leave rows or columns blank if you wish. [Chocolate],Rank the ice cream flavors you'd like to see at a summer ice cream social. You can place one vote per row (flavor) and one vote per column (ranking). Rankings go from 1 (most favorite) to 9 (least favorite). You can leave rows or columns blank if you wish. [Cookie Dough],Rank the ice cream flavors you'd like to see at a summer ice cream social. You can place one vote per row (flavor) and one vote per column (ranking). Rankings go from 1 (most favorite) to 9 (least favorite). You can leave rows or columns blank if you wish. [Mango Sorbet],Rank the ice cream flavors you'd like to see at a summer ice cream social. You can place one vote per row (flavor) and one vote per column (ranking). Rankings go from 1 (most favorite) to 9 (least favorite). You can leave rows or columns blank if you wish. [Mint chip],Rank the ice cream flavors you'd like to see at a summer ice cream social. You can place one vote per row (flavor) and one vote per column (ranking). Rankings go from 1 (most favorite) to 9 (least favorite). You can leave rows or columns blank if you wish. [Moose tracks],Rank the ice cream flavors you'd like to see at a summer ice cream social. You can place one vote per row (flavor) and one vote per column (ranking). Rankings go from 1 (most favorite) to 9 (least favorite). You can leave rows or columns blank if you wish. [Oreo],Rank the ice cream flavors you'd like to see at a summer ice cream social. You can place one vote per row (flavor) and one vote per column (ranking). Rankings go from 1 (most favorite) to 9 (least favorite). You can leave rows or columns blank if you wish. [Raspberry sorbet],Rank the ice cream flavors you'd like to see at a summer ice cream social. You can place one vote per row (flavor) and one vote per column (ranking). Rankings go from 1 (most favorite) to 9 (least favorite). You can leave rows or columns blank if you wish. [Salted Caramel],Rank the ice cream flavors you'd like to see at a summer ice cream social. You can place one vote per row (flavor) and one vote per column (ranking). Rankings go from 1 (most favorite) to 9 (least favorite). You can leave rows or columns blank if you wish. [Vanilla]
Record 0,5,,,,,,,,
Record 1,5,9,4,6,,3,,1,
Record 2,,,4,7,6,,,,3
Record 3,5,2,,,4,3,7,,6
Record 4,2,7,5,3,4,9,1,8,6
Record 5,2,,8,,,3,,,7
Record 6,,6,,5,8,,9,2,
Record 7,,6,7,3,5,,8,9,
Record 8,9,3,4,6,1,2,8,7,5
Record 9,5,2,1,4,3,7,9,6,8
Record 10,2,,,,,,,,
Record 11,5,,,,,,,,
Record 12,,,,4,1,2,3,5,8
Record 13,5,1,7,8,3,6,2,9,4
Record 14,8,4,3,5,,9,2,,6
Record 15,2,5,6,1,9,4,7,8,3
Record 16,4,6,9,2,8,7,1,3,5
Record 17,4,6,2,1,8,9,7,5,3
Record 18,7,,6,8,,3,4,1,5
Record 19,,,,,,6,,,1
Record 20,9,5,3,4,7,1,6,8,2
Record 21,5,8,4,2,7,1,6,3,9
Record 22,5,1,8,2,9,7,6,4,3
Record 23,8,2,1,7,9,4,3,6,5
Record 24,,6,,,,3,4,,
Record 25,6,4,2,9,3,1,8,5,7
Record 26,5,,2,8,,3,4,1,7
Record 27,6,8,3,2,7,5,9,4,1
Record 28,8,4,6,2,9,5,7,1,3
Record 29,,8,6,,,,7,,
Record 30,9,2,4,1,8,5,7,6,3
Record 31,5,,,,,,,,
Record 32,2,1,6,3,4,5,9,7,8
Record 33,2,8,3,1,4,6,5,9,7
Record 34,,,8,1,,,,,
Record 35,7,2,4,8,5,3,6,1,9
Record 36,5,6,9,1,2,8,7,4,3
Record 37,2,7,6,4,5,3,1,9,8
Record 38,2,5,3,6,4,9,8,1,7
Record 39,,,1,2,6,3,,,
Record 40,8,3,2,7,6,9,1,5,4
Record 41,7,5,,6,,8,1,,
Record 42,7,2,8,9,3,4,1,5,6
Record 43,,,,,,,,5,
Record 44,7,1,5,9,3,2,6,8,4
Record 45,4,9,7,1,3,8,2,6,5
Record 46,4,5,2,7,9,3,8,1,6
Record 47,2,1,4,5,6,3,7,9,8
Record 48,3,4,9,7,1,8,2,6,5
Record 49,1,2,7,6,4,9,8,5,3
Record 50,,6,4,7,3,5,1,9,
Record 51,7,1,3,9,2,8,4,5,6
Record 52,3,,9,1,5,7,6,2,4
Record 53,3,6,,7,4,9,1,2,5
Record 54,4,9,3,7,8,6,5,2,1
Record 55,6,4,1,8,2,7,3,9,5
Record 56,5,8,4,6,3,9,2,7,1
Record 57,5,6,,7,1,,,9,8
Record 58,2,4,3,5,1,7,6,9,8
Record 59,9,5,2,3,6,7,1,8,4
Record 60,9,8,7,3,1,,4,,
Record 61,,,,9,4,,,,
Record 62,4,7,1,9,8,5,6,3,2
Record 63,7,3,5,2,9,,4,8,1
Record 64,7,4,8,9,6,3,1,5,2
Record 65,4,6,,3,,2,1,,9
Record 66,4,5,,,,1,,6,7
Record 67,5,,,6,,,2,,9
Record 68,4,,,2,,,6,8,3
Record 69,,6,4,,,,,8,
Record 70,8,2,9,7,3,6,5,4,1
Record 71,6,3,2,1,8,7,9,5,4
Record 72,6,5,4,7,2,9,1,3,8
Record 73,3,4,7,,8,,5,9,6
Record 74,6,7,4,2,9,3,5,1,8
Record 75,5,8,1,2,3,4,7,9,6
Record 76,1,5,6,2,8,3,4,9,7
Record 77,2,8,1,4,5,3,7,9,6
Record 78,8,3,9,6,5,4,7,1,2
Record 79,3,9,2,5,7,1,4,6,8
Record 80,3,4,5,6,9,7,8,2,1
Record 81,4,7,1,9,2,5,6,8,3
Record 82,,2,7,,9,,,,
Record 83,9,8,5,1,6,7,3,4,2
Record 84,3,,,,2,6,,,
Record 85,,,4,,,,,,2
Record 86,,,9,,,,,,
Record 87,6,7,3,9,5,2,4,1,8
Record 88,3,8,1,7,9,6,2,5,4
Record 89,9,6,3,1,7,2,4,5,8
Record 90,6,3,1,9,8,5,4,2,7
Record 91,5,9,4,3,,,6,7,8
Record 92,3,2,5,9,8,7,4,,6
Record 93,9,4,3,8,6,1,5,2,7
Record 94,7,1,9,2,3,8,6,4,5
Record 95,2,,,,,,,,
Record 96,4,6,8,1,3,2,5,7,9
Record 97,,3,4,6,1,2,9,8,7
Record 98,,,,,2,5,,1,7
Record 99,8,5,7,1,9,3,6,2,4
Record 100,2,8,5,4,6,1,9,3,7
Record 101,4,5,1,2,8,7,6,3,9
Record 102,3,1,9,5,2,6,4,8,7
Record 103,1,4,8,6,,,,,
Record 104,4,8,3,1,6,2,9,5,7
Record 105,1,7,9,8,5,6,2,4,3
Record 106,9,8,4,7,5,2,1,3,6
Record 107,6,,,,,1,4,5,
Record 108,,,,,,7,,,6
Record 109,5,1,4,2,7,9,3,6,8
Record 110,,8,,6,4,,,,
Record 111,9,3,6,2,1,5,4,8,7
Record 112,8,4,3,6,1,2,9,7,5
Record 113,6,2,7,1,9,4,8,3,5
Record 114,8,7,2,9,5,6,3,4,1
Record 115,5,2,6,1,9,3,4,8,7
Record 116,1,3,4,5,7,2,8,9,6
Record 117,3,4,9,7,5,6,2,1,8
Record 118,5,6,1,,9,,2,7,8
Record 119,6,7,5,9,8,4,1,2,3
Record 120,1,9,4,,,8,,3,2
Record 121,4,9,3,7,8,1,6,5,2
Record 122,6,,2,5,1,,8,3,7
Record 123,9,8,4,7,6,3,1,5,2
Record 124,8,5,4,9,3,7,6,1,2
Record 125,3,9,7,5,4,2,6,1,8
Record 126,9,3,5,1,8,4,2,7,6
Record 127,8,3,4,1,5,9,7,6,2
Record 128,6,8,4,9,1,7,5,2,3
Record 129,8,4,2,6,5,9,1,7,3
Record 130,,,3,,,,,,
Record 131,1,7,3,9,6,4,2,5,8
Record 132,1,,8,5,3,4,6,2,9
Record 133,,,,1,,,,9,
Record 134,,7,,,1,,,4,
Record 135,5,3,8,7,2,4,1,6,9
Record 136,4,1,3,9,5,6,7,2,8
Record 137,5,4,3,6,1,7,,8,
Record 138,,8,4,7,3,2,5,9,6
Record 139,5,7,4,8,9,1,6,3,2
Record 140,4,3,9,6,,2,7,5,1
Record 141,5,3,2,7,8,4,1,6,9
Record 142,,,,8,,,,,
Record 143,,,3,1,5,8,2,9,4
Record 144,9,4,8,3,2,6,7,5,1
Record 145,2,8,6,7,5,4,1,9,3
Record 146,,,,,6,,1,3,2
Record 147,4,,2,5,,1,,6,9
Record 148,8,3,4,2,7,1,5,9,6
Record 149,8,3,5,9,4,7,6,2,1
Record 150,,,8,,,,,,
Record 151,4,2,3,7,1,8,9,6,5
Record 152,9,4,1,7,8,5,2,6,3
Record 153,4,9,8,1,3,5,6,2,7
Record 154,8,4,3,2,1,7,9,6,5
Record 155,7,8,9,1,6,3,5,2,4
Record 156,2,7,5,1,9,3,8,4,6
Record 157,3,,7,9,,,,8,4
Record 158,6,7,9,1,2,8,3,4,5
Record 159,8,1,6,4,,2,9,7,
Record 160,3,1,7,8,,,5,,6
Record 161,,5,4,9,,1,2,7,3
Record 162,,6,,9,,,,8,5
Record 163,,,,,2,4,,,
Record 164,6,,7,9,5,4,2,3,1
Record 165,2,3,9,,7,,5,4,8
Record 166,2,6,3,1,,7,9,4,8
Record 167,9,8,6,7,5,3,4,1,2
Record 168,,,,3,,,8,,
Record 169,1,7,5,9,6,3,4,2,8
Record 170,,6,8,9,7,2,,4,5
Record 171,5,,1,,,6,3,,
Record 172,7,,,1,,,,,
Record 173,8,1,6,7,2,4,3,5,9
Record 174,7,5,3,6,2,4,1,9,8
Record 175,,,,,2,4,,,
Record 176,7,4,2,6,8,5,3,1,9
Record 177,7,5,1,8,2,9,4,6,3
Record 178,4,6,7,1,8,3,2,5,9
Record 179,8,3,7,6,1,9,5,4,2
Record 180,4,6,8,3,9,7,1,2,5
Record 181,,,,7,2,,,1,
Record 182,8,3,6,9,2,5,7,4,1
Record 183,9,7,4,5,8,1,6,2,3
Record 184,9,3,5,2,7,6,8,1,4
Record 185,9,2,1,6,5,7,8,4,3
Record 186,,4,6,1,,9,,,5
Record 187,7,3,5,8,2,9,4,6,1
Record 188,2,9,6,5,3,8,4,1,7
Record 189,3,9,8,7,2,1,6,4,5
Record 190,3,7,6,,2,9,1,5,4
Record 191,6,3,4,2,7,8,1,9,5
Record 192,,,,,,7,,,
Record 193,9,7,1,3,4,5,6,8,2
Record 194,9,2,,8,,,,3,4
Record 195,3,9,8,4,6,5,1,7,2
Record 196,,,,,,,2,,6
Record 197,8,2,1,9,3,7,5,6,4
Record 198,9,6,8,2,1,5,7,3,4
Record 199,5,7,4,6,3,9,1,2,8
Record 200,4,7,1,6,3,,,,
Record 201,6,1,,,,,,9,2
Record 202,6,,,,,2,1,7,4
Record 203,4,8,9,5,2,1,6,7,3
Record 204,,8,,,4,,1,7,2
Record 205,6,3,2,5,8,1,9,4,7
Record 206,2,6,1,3,4,9,8,5,7
Record 207,8,3,2,4,5,9,1,7,6
Record 208,6,,,,,4,,9,
Record 209,6,5,,,1,8,,7,9
Record 210,8,6,4,1,3,5,7,9,2
Record 211,4,,,,3,,,,6
Record 212,5,7,8,1,6,3,4,9,2
Record 213,2,6,9,5,3,4,8,7,1
Record 214,8,7,2,6,5,9,3,1,4
Record 215,4,1,2,6,8,5,3,9,7
Record 216,6,5,1,7,9,8,3,4,2
Record 217,3,6,1,8,5,7,2,4,9
Record 218,7,9,8,3,1,2,6,5,4
Record 219,5,6,3,7,1,2,4,9,8
Record 220,7,9,2,4,1,8,3,6,5
Record 221,6,7,5,4,8,3,9,1,2
Record 222,9,2,7,5,6,1,4,8,3
Record 223,8,4,3,6,2,5,1,7,9
Record 224,1,7,5,3,9,6,8,4,2
Record 225,,5,7,2,1,,,4,
Record 226,6,7,4,1,8,3,9,2,5
Record 227,3,6,5,4,7,1,8,2,9
Record 228,5,2,3,6,8,4,9,7,1
Record 229,,,,,5,,,,
Record 230,8,7,1,3,6,4,9,2,5
Record 231,,3,,,,,,,2
Record 232,6,9,2,4,1,3,7,5,8
Record 233,7,9,1,3,4,6,5,8,2
Record 234,,,,1,,8,5,9,4
Record 235,4,,,8,,,,,7
Record 236,3,4,5,2,1,8,6,7,9
Record 237,6,5,1,3,2,4,8,9,7
Record 238,2,5,3,7,1,6,4,9,8
Record 239,,,8,4,2,9,7,3,6
Record 240,3,,6,1,,8,2,5,9
Record 241,8,,7,,3,5,4,,2
Record 242,2,5,3,7,4,9,1,6,8
Record 243,6,1,,,,,,,
Record 244,9,1,,,3,,7,,
Record 245,1,6,3,7,9,5,8,4,2
Record 246,1,6,9,2,3,4,8,5,7
Record 247,7,9,2,8,3,6,5,4,1
Record 248,7,6,4,2,9,5,1,8,3
Record 249,,,,8,,,2,,
Record 250,4,7,1,3,9,6,5,2,8
Record 251,5,6,3,4,8,2,9,7,1
Record 252,4,9,6,5,2,1,8,3,7
Record 253,2,8,9,6,7,4,5,3,1
Record 254,,,,,,,3,,
Record 255,,9,6,3,5,1,4,8,
Record 256,7,2,4,6,5,8,3,1,9
Record 257,3,,1,2,,,,9,
Record 258,4,3,7,9,8,6,2,5,1
Record 259,2,9,8,5,6,7,1,4,3
Record 260,8,1,9,5,3,4,7,6,2
Record 261,9,,4,1,2,3,,,5
Record 262,8,4,6,3,7,5,2,9,1
Record 263,4,7,8,5,6,1,3,9,2
Record 264,8,,,,,,9,3,
Record 265,,1,3,4,,,,,7
Record 266,1,6,3,2,7,5,4,8,9
Record 267,3,,5,6,2,8,7,4,9
Record 268,3,6,5,8,4,9,1,2,7
Record 269,1,6,9,8,4,3,5,7,2
Record 270,7,5,8,3,,,,1,4
Record 271,2,5,6,4,3,9,1,8,7
Record 272,3,9,,2,,,5,8,
Record 273,9,8,1,5,7,6,3,2,4
Record 274,3,2,6,8,1,7,5,4,9
Record 275,7,2,8,1,6,3,9,4,5
Record 276,6,7,1,3,4,5,8,9,2
Record 277,4,2,,7,,6,,5,
Record 278,,8,,,,,,,7
Record 279,,2,,,6,,,,
Record 280,5,3,4,6,2,7,1,9,8
Record 281,1,7,5,9,4,3,6,2,8
Record 282,3,,9,4,,2,,,
Record 283,2,7,4,5,3,8,6,1,9
Record 284,8,5,3,2,9,6,1,4,7
Record 285,,5,,,,,,,
Record 286,1,4,8,9,5,6,2,7,3
Record 287,6,,,8,,9,3,,
Record 288,1,9,6,2,5,7,3,8,4
Record 289,5,3,4,6,1,7,2,8,9
Record 290,2,4,6,1,9,5,7,3,8
Record 291,,8,,,9,4,,7,5
Record 292,3,2,9,6,8,7,1,5,4
Record 293,8,3,7,5,6,1,9,2,4
Record 294,8,9,1,2,5,3,7,6,4
Record 295,1,2,5,4,9,7,3,6,8
Record 296,7,9,1,2,5,4,8,3,6
Record 297,7,2,1,9,4,5,3,6,8
Record 298,6,5,3,1,8,4,2,7,9
Record 299,8,,,,,,1,,
